title,message,final
紅眼少女,你在海港昏迷，糢糢糊糊中你來到了一處神秘的空間，此地彷彿失去了物理法則的限制。你遇到了一個正在吹竹笛演奏的恬靜少女。她跟你分享了她有一個十分尊敬的人，儘管兩人意見不合，但少女依舊喜歡著對方。她跟你表達了希望有一天能與這位重逢,💔 心情⬇️⬇️-----🥲眼淚 ⬆️⬆️⬆️⬆️
馬路邊,看見正在過馬路的老婆婆，你決定不出手幫忙默默守護,老太太好感度 ⬆️
馬路邊,看見正在過馬路的老婆婆，你決定出手幫忙，頓時老太太高喊「沒人可以抓住我！」變身成鋼彈飛走了，留下一臉疑惑的你,空氣汙染  ⬆️
太醫的瓜田,你三更半夜摸進太醫的瓜田偷西瓜，沒被發現,獲得西瓜兩顆🍉 🍉
太醫的瓜田,你三更半夜摸進太醫的瓜田偷西瓜，被發現了,變成瓜田的一份子🍉
科學院,你抓到上班偷打麻將的同事們，決定加入賭局，贏光他們的錢,金錢 ⬆️
科學院,在一疊學術專欄裡發現私藏雜誌，意外發現主管性癖,主管理解度 ⬆️⬆️
崑崙遺跡,你加入精銳探險隊探索遺跡，突然機關被觸動，你一個箭步上前，三兩下將飛出的暗器盡數打落在地,敏捷 ⬆️
崑崙遺跡,你加入精銳探險隊探索遺跡，仔細觀察壁畫後，竟從中推得一招半式,武功 ⬆️
崑崙遺跡,你加入精銳探險隊探索遺跡，你一招制服偷偷駐紮在此的掘金賊，把黃金私藏己有,黃金 ⬆️
崑崙遺跡,你加入精銳探險隊探索遺跡，並與怪物守衛交戰，幾個來回後，讓對手成為刀下亡魂！,武功  ⬆️
崑崙遺跡,你加入精銳探險隊探索遺跡，身手矯健跳上石柱借力一躍，從天而降將潛伏的敵人瞬間制伏！,敏捷 ⬆️
崑崙遺跡,你加入精銳探險隊探索遺跡，破譯卷軸上的內容，知曉了古崑崙人的古樹能量理論！,古崑崙人理解度 ⬆️
遭遇色劫(?),為了研究山林相關的文化與環境，你選擇前往山上探險，然而遇到個穿著褌，有著犬型臉部結構的智慧生物。他只要求你脫下衣服，換上與他相同的暴露服裝。你不願遵從，但不幸的被他逮到，最終只得在其壓迫下強迫服從。事成後對方又送了一些和裝讓您搭配，並帶您出山(雖然原本的衣服被收走了)。雖然開始跟過程蠻可怕的，但對方給你的衣著讓不少人看了癢癢的，反而在吸引度上有加分，或許這就是送行犬吧？,魅力⬆️ ⬆️ ⬆️ ⬆️
執念糾纏,你參加了自身所在國家的考古團，並幫忙挖掘遺址，但不幸的遭到了突然在該地出現的怨靈的攻擊。”恐怕是觸怒了該地的守護者吧？”，在難以避免的狀況下，只能將該遺址再次掩埋，期望時間能淡化怨靈的怨氣。浪費了體力與精神力的您，除了逃避怨靈，什麼事情都沒獲得，甚至還因為刺激過大，讓精神受損不少,智力⬇️ 
壓線工程,鬼方基建都是最後一刻爆發,行動力⬆️⬆️-----未來三日行動力-1
昏睡枕頭,你在路上看到了一顆大枕頭，你在上面睡上一覺,你睡的很飽，行動點+1-----因為貪睡工作遲到了，工資⬇️-----枕頭的主人看到你睡在上面，「友善」的叫醒你，丹藥催化劑➖
截哥不要,因為收到邀請函，所以你打算參加截國碧遊都三天行，然而旅行的第一天就遇上傳說中如同登徒子的截全(?)，”唉呦身材不錯喔，挺結實的，來…”，”不要!”，你在聽到他說那句話的時刻，除了不要，其他的文字你都說不出口，並轉身搭上截國的渡輪倉惶逃生，“現在的諸侯真不懂禮節，只是想邀請諸侯到外交人士專用的旅社就被回絕了，真是無情”,財務⬇️ -----截全的心⬇️
音樂鼠,你到鬼方的花鳥市場，準備買寵物給認識的好友的姪女當作生日禮物。在不遠處傳來店家的叫喊：“來喔，鬼方跟羽民特有的線線小倉鼠，一隻只要1塊，會聽話，而且方便好養，趕快來買喔”，因為看起來又小又可愛的，而且圓圓的很討喜，所以你買了一隻線線倉鼠，一🐹一籠最安心。在生日的當天，你準備好有7x4🤙指間寬(15~20公分)的籠子，以及其他相關物品，準備讓小妹妹體驗生命教育的娛樂，當小女孩打開裝有倉鼠的生日盒的時候：“發出如同元能器漏元能的聲音”只見倉鼠這麼一叫，如同像是宣稱小妹妹如同屠夫、我就是白色大象、你是白色大象他媽媽一般，生日派對的氣氛，就如同截通小時候偷看同性戀雜誌，被他母親抓到時，母親的心情一樣低沉。最後為了避免倉鼠因為讓小妹妹難堪的理由，被抓去茅坑一日遊，你的朋友決定讓你換其他的東西給小妹妹，倉鼠由你飼養，賠了錢錢又來”元”氣鼠，大眾們是這麼說的。,魅力⬇️ -----小朋友對倉鼠的魅力⬇️ -----小朋友的心⬇️ 
絕世美人,你在樂坊看見了一群男娘在排練舞蹈，中間的佳人姿態曼妙，彷彿自帶光環。被吸引住的你在排練結束後急忙拉住了佳人「你是我人生中見過最美的男娘。」你對他說。而佳人聽見後只是羞澀地笑笑，輕巧的抽出你手中的衣角急忙地跑開了。,心動⬆️⬆️
絕世美人,你在樂坊看見了一群男娘在排練舞蹈，中間的佳人姿態曼妙，彷彿自帶光環。被吸引住的你在排練結束後急忙拉住了佳人「你是我人生中見過最美的男娘。」你對他說。而佳人只是尷尬地笑笑，看著在自己面前緊張侷促的你，猶豫的吐出話語：「謝謝你的稱讚，但……我真是女的，抱歉啦。」,心碎⬆️⬆️ 
